Table,Variable,Type,Label
VEOA,agegrp,Char(3),Group: Age group code
VEOA,cohort,Char(4),First year of cohort
VEOA,cohort_years,Num,Number of years in cohort
VEOA,status_y10_earn,Num,Status Flag: Earnings in year 10
VEOA,status_y10_emp,Num,Status Flag: Count of employed veterans in year 10
VEOA,status_y10_nonemp,Num,Status Flag: Count of non-employed veterans in year 10
VEOA,status_y1_earn,Num,Status Flag: Earnings in year 1
VEOA,status_y1_emp,Num,Status Flag: Count of employed veterans in year 1
VEOA,status_y1_nonemp,Num,Status Flag: Count of non-employed veterans in year 1
VEOA,status_y5_earn,Num,Status Flag: Earnings in year 5
VEOA,status_y5_emp,Num,Status Flag: Count of employed veterans in year 5
VEOA,status_y5_nonemp,Num,Status Flag: Count of non-employed veterans in year 5
VEOA,y10_emp,Num,Count of employed veterans in year 10
VEOA,y10_nonemp,Num,Count of non-employed veterans in year 10
VEOA,y10_p25_earnings,Num,Earnings 25th Percentile in year 10 (2018 Dollars)
VEOA,y10_p50_earnings,Num,Earnings 50th Percentile in year 10 (2018 Dollars)
VEOA,y10_p75_earnings,Num,Earnings 75th Percentile in year 10 (2018 Dollars)
VEOA,y1_emp,Num,Count of employed veterans in year 1
VEOA,y1_nonemp,Num,Count of non-employed veterans in year 1
VEOA,y1_p25_earnings,Num,Earnings 25th Percentile in year 1 (2018 Dollars)
VEOA,y1_p50_earnings,Num,Earnings 50th Percentile in year 1 (2018 Dollars)
VEOA,y1_p75_earnings,Num,Earnings 75th Percentile in year 1 (2018 Dollars)
VEOA,y5_emp,Num,Count of employed veterans in year 5
VEOA,y5_nonemp,Num,Count of non-employed veterans in year 5
VEOA,y5_p25_earnings,Num,Earnings 25th Percentile in year 5 (2018 Dollars)
VEOA,y5_p50_earnings,Num,Earnings 50th Percentile in year 5 (2018 Dollars)
VEOA,y5_p75_earnings,Num,Earnings 75th Percentile in year 5 (2018 Dollars)
VEOE,cohort,Char(4),First year of cohort
VEOE,cohort_years,Num,Number of years in cohort
VEOE,education,Char(3),Group: Education
VEOE,status_y10_earn,Num,Status Flag: Earnings in year 10
VEOE,status_y10_emp,Num,Status Flag: Count of employed veterans in year 10
VEOE,status_y10_nonemp,Num,Status Flag: Count of non-employed veterans in year 10
VEOE,status_y1_earn,Num,Status Flag: Earnings in year 1
VEOE,status_y1_emp,Num,Status Flag: Count of employed veterans in year 1
VEOE,status_y1_nonemp,Num,Status Flag: Count of non-employed veterans in year 1
VEOE,status_y5_earn,Num,Status Flag: Earnings in year 5
VEOE,status_y5_emp,Num,Status Flag: Count of employed veterans in year 5
VEOE,status_y5_nonemp,Num,Status Flag: Count of non-employed veterans in year 5
VEOE,y10_emp,Num,Count of employed veterans in year 10
VEOE,y10_nonemp,Num,Count of non-employed veterans in year 10
VEOE,y10_p25_earnings,Num,Earnings 25th Percentile in year 10 (2018 Dollars)
VEOE,y10_p50_earnings,Num,Earnings 50th Percentile in year 10 (2018 Dollars)
VEOE,y10_p75_earnings,Num,Earnings 75th Percentile in year 10 (2018 Dollars)
VEOE,y1_emp,Num,Count of employed veterans in year 1
VEOE,y1_nonemp,Num,Count of non-employed veterans in year 1
VEOE,y1_p25_earnings,Num,Earnings 25th Percentile in year 1 (2018 Dollars)
VEOE,y1_p50_earnings,Num,Earnings 50th Percentile in year 1 (2018 Dollars)
VEOE,y1_p75_earnings,Num,Earnings 75th Percentile in year 1 (2018 Dollars)
VEOE,y5_emp,Num,Count of employed veterans in year 5
VEOE,y5_nonemp,Num,Count of non-employed veterans in year 5
VEOE,y5_p25_earnings,Num,Earnings 25th Percentile in year 5 (2018 Dollars)
VEOE,y5_p50_earnings,Num,Earnings 50th Percentile in year 5 (2018 Dollars)
VEOE,y5_p75_earnings,Num,Earnings 75th Percentile in year 5 (2018 Dollars)
VEONS,cohort,Char(4),First year of cohort
VEONS,cohort_years,Num,Number of years in cohort
VEONS,ind_level,Char(1),Group: Industry level of employment
VEONS,industry,Char(5),Group: Industry code of employment
VEONS,status_y10_earn,Num,Status Flag: Earnings in year 10
VEONS,status_y10_emp,Num,Status Flag: Count of employed veterans in year 10
VEONS,status_y10_nonemp,Num,Status Flag: Count of non-employed veterans in year 10
VEONS,status_y1_earn,Num,Status Flag: Earnings in year 1
VEONS,status_y1_emp,Num,Status Flag: Count of employed veterans in year 1
VEONS,status_y1_nonemp,Num,Status Flag: Count of non-employed veterans in year 1
VEONS,status_y5_earn,Num,Status Flag: Earnings in year 5
VEONS,status_y5_emp,Num,Status Flag: Count of employed veterans in year 5
VEONS,status_y5_nonemp,Num,Status Flag: Count of non-employed veterans in year 5
VEONS,y10_emp,Num,Count of employed veterans in year 10
VEONS,y10_nonemp,Num,Count of non-employed veterans in year 10
VEONS,y10_p25_earnings,Num,Earnings 25th Percentile in year 10 (2018 Dollars)
VEONS,y10_p50_earnings,Num,Earnings 50th Percentile in year 10 (2018 Dollars)
VEONS,y10_p75_earnings,Num,Earnings 75th Percentile in year 10 (2018 Dollars)
VEONS,y1_emp,Num,Count of employed veterans in year 1
VEONS,y1_nonemp,Num,Count of non-employed veterans in year 1
VEONS,y1_p25_earnings,Num,Earnings 25th Percentile in year 1 (2018 Dollars)
VEONS,y1_p50_earnings,Num,Earnings 50th Percentile in year 1 (2018 Dollars)
VEONS,y1_p75_earnings,Num,Earnings 75th Percentile in year 1 (2018 Dollars)
VEONS,y5_emp,Num,Count of employed veterans in year 5
VEONS,y5_nonemp,Num,Count of non-employed veterans in year 5
VEONS,y5_p25_earnings,Num,Earnings 25th Percentile in year 5 (2018 Dollars)
VEONS,y5_p50_earnings,Num,Earnings 50th Percentile in year 5 (2018 Dollars)
VEONS,y5_p75_earnings,Num,Earnings 75th Percentile in year 5 (2018 Dollars)
VEOO2NS,cohort,Char(4),First year of cohort
VEOO2NS,cohort_years,Num,Number of years in cohort
VEOO2NS,dod_occ_code,Char(3),Group: DOD occupation code
VEOO2NS,dod_occ_code_level,Char(1),Group: DOD occupation code level of aggregation
VEOO2NS,ind_level,Char(1),Group: Industry level of employment
VEOO2NS,industry,Char(5),Group: Industry code of employment
VEOO2NS,status_y10_earn,Num,Status Flag: Earnings in year 10
VEOO2NS,status_y10_emp,Num,Status Flag: Count of employed veterans in year 10
VEOO2NS,status_y10_nonemp,Num,Status Flag: Count of non-employed veterans in year 10
VEOO2NS,status_y1_earn,Num,Status Flag: Earnings in year 1
VEOO2NS,status_y1_emp,Num,Status Flag: Count of employed veterans in year 1
VEOO2NS,status_y1_nonemp,Num,Status Flag: Count of non-employed veterans in year 1
VEOO2NS,status_y5_earn,Num,Status Flag: Earnings in year 5
VEOO2NS,status_y5_emp,Num,Status Flag: Count of employed veterans in year 5
VEOO2NS,status_y5_nonemp,Num,Status Flag: Count of non-employed veterans in year 5
VEOO2NS,y10_emp,Num,Count of employed veterans in year 10
VEOO2NS,y10_nonemp,Num,Count of non-employed veterans in year 10
VEOO2NS,y10_p25_earnings,Num,Earnings 25th Percentile in year 10 (2018 Dollars)
VEOO2NS,y10_p50_earnings,Num,Earnings 50th Percentile in year 10 (2018 Dollars)
VEOO2NS,y10_p75_earnings,Num,Earnings 75th Percentile in year 10 (2018 Dollars)
VEOO2NS,y1_emp,Num,Count of employed veterans in year 1
VEOO2NS,y1_nonemp,Num,Count of non-employed veterans in year 1
VEOO2NS,y1_p25_earnings,Num,Earnings 25th Percentile in year 1 (2018 Dollars)
VEOO2NS,y1_p50_earnings,Num,Earnings 50th Percentile in year 1 (2018 Dollars)
VEOO2NS,y1_p75_earnings,Num,Earnings 75th Percentile in year 1 (2018 Dollars)
VEOO2NS,y5_emp,Num,Count of employed veterans in year 5
VEOO2NS,y5_nonemp,Num,Count of non-employed veterans in year 5
VEOO2NS,y5_p25_earnings,Num,Earnings 25th Percentile in year 5 (2018 Dollars)
VEOO2NS,y5_p50_earnings,Num,Earnings 50th Percentile in year 5 (2018 Dollars)
VEOO2NS,y5_p75_earnings,Num,Earnings 75th Percentile in year 5 (2018 Dollars)
VEOO2P,cohort,Char(4),First year of cohort
VEOO2P,cohort_years,Num,Number of years in cohort
VEOO2P,dod_occ_code,Char(3),Group: DOD occupation code
VEOO2P,dod_occ_code_level,Char(1),Group: DOD occupation code level of aggregation
VEOO2P,paygrade,Char(5),Group: Paygrade
VEOO2P,paygrade_level,Char(1),Group: Paygrade level of aggregation
VEOO2P,status_y10_earn,Num,Status Flag: Earnings in year 10
VEOO2P,status_y10_emp,Num,Status Flag: Count of employed veterans in year 10
VEOO2P,status_y10_nonemp,Num,Status Flag: Count of non-employed veterans in year 10
VEOO2P,status_y1_earn,Num,Status Flag: Earnings in year 1
VEOO2P,status_y1_emp,Num,Status Flag: Count of employed veterans in year 1
VEOO2P,status_y1_nonemp,Num,Status Flag: Count of non-employed veterans in year 1
VEOO2P,status_y5_earn,Num,Status Flag: Earnings in year 5
VEOO2P,status_y5_emp,Num,Status Flag: Count of employed veterans in year 5
