cohort,cohort_years,geo_level,geography,y1_emp,y5_emp,y10_emp,y1_nonemp,y5_nonemp,y10_nonemp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_nonemp,status_y5_nonemp,status_y10_nonemp,status_y1_earn,status_y5_earn,status_y10_earn
2000,2,S,UN,,,,14550,15230,18630,,,,,,,,,,1,1,1,1,1,1,1,1,1
2000,2,S,01,1146,1248,1268,381,256,210,24100,29680,37850,34330,43370,54680,46830,61130,79500,1,1,1,1,1,1,1,1,1
2000,2,S,02,368,355,338,98,62,61,26980,35880,44110,36580,51650,62350,53930,71320,79730,1,1,1,1,1,1,1,1,1
2000,2,S,04,,1446,1407,,267,204,,31930,40010,,47550,57720,,66770,83100,-1,1,1,-1,1,1,-1,1,1
2000,2,S,05,,517,481,,136,124,,25660,31200,,37300,44550,,49520,62110,-1,1,1,-1,1,1,-1,1,1
2000,2,S,06,3121,3520,3255,1408,832,644,23060,32230,40660,33280,48430,61480,47840,68650,86030,1,1,1,1,1,1,1,1,1
2000,2,S,08,1994,1786,1589,508,291,301,26280,34380,39800,37750,49010,57980,51190,68370,81850,1,1,1,1,1,1,1,1,1
2000,2,S,09,290,304,264,86,53,64,25380,33630,45100,36440,48120,63090,49240,70140,86740,1,1,1,1,1,1,1,1,1
2000,2,S,10,147,136,118,,,,22960,30620,32630,33290,44380,46940,45670,57620,64700,1,1,1,5,5,5,1,1,1
2000,2,S,11,,450,583,,57,,,53340,68310,,68740,90680,,92350,117700,-1,1,1,-1,1,5,-1,1,1
2000,2,S,12,3333,4070,3567,1240,946,783,22160,29410,34760,31440,41350,48020,42230,56810,69430,1,1,1,1,1,1,1,1,1
2000,2,S,13,3725,3796,3487,1071,649,544,25880,31680,35690,35380,43500,49840,47420,58970,67470,1,1,1,1,1,1,1,1,1
2000,2,S,15,264,260,222,144,73,,23880,31000,40020,36400,51010,64610,53870,74430,87780,1,1,1,1,1,5,1,1,1
2000,2,S,16,212,224,222,89,76,61,18890,23020,28640,27400,35130,40610,39850,51270,58910,1,1,1,1,1,1,1,1,1
2000,2,S,17,1201,1359,1344,507,303,234,22120,29450,38470,33000,43860,56380,48330,62230,78650,1,1,1,1,1,1,1,1,1
