cohort,cohort_years,ind_level,industry,y1_emp,y5_emp,y10_emp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_earn,status_y5_earn,status_y10_earn,y1_nonemp,y5_nonemp,y10_nonemp,status_y1_nonemp,status_y5_nonemp,status_y10_nonemp
0,16,A,00,312300,262900,155000,23330,31130,36480,34630,45420,52620,51030,65130,75520,1,1,1,1,1,1,,,,,,
0,16,N,11,1088,671.5,400,20130,24050,25610,27270,33950,36290,36580,46210,47560,1,1,1,1,1,1,,,,,,
0,16,N,21,4997,3611,2219,36790,49120,56620,53390,69690,81010,71520,93120,109000,1,1,1,1,1,1,,,,,,
0,16,N,22,1492,1892,1420,30880,44380,54120,42390,62100,74440,58190,83140,97510,1,1,1,1,1,1,,,,,,
0,16,N,23,20720,14710,7554,22370,28590,33760,31250,40760,48430,43170,57060,68970,1,1,1,1,1,1,,,,,,
0,16,N,31-33,29810,24150,14370,24810,31770,36550,34710,44460,51090,48470,61660,71760,1,1,1,1,1,1,,,,,,
0,16,N,42,14070,11090,6682,24600,31320,36030,34320,43450,50180,47230,59640,69870,1,1,1,1,1,1,,,,,,
0,16,N,44-45,30310,19200,9455,17780,21370,24680,23950,30280,36160,33790,43190,52200,1,1,1,1,1,1,,,,,,
0,16,N,48-49,19350,13370,7554,23400,29850,33170,33980,43150,47620,48710,60450,65640,1,1,1,1,1,1,,,,,,
0,16,N,51,8326,7261,4279,28690,36700,44170,42130,52420,62480,64390,76450,86610,1,1,1,1,1,1,,,,,,
0,16,N,52,5384,5317,3376,22620,30490,36990,31790,42350,51190,43500,57510,72790,1,1,1,1,1,1,,,,,,
0,16,N,53,4525,3226,1779,21420,26780,30810,30520,38310,43480,42530,52310,60800,1,1,1,1,1,1,,,,,,
0,16,N,54,35540,27370,13630,41670,47960,50810,62330,70610,74990,88280,100400,108000,1,1,1,1,1,1,,,,,,
0,16,N,55,2916,2615,1816,24020,32330,38250,36440,47610,56520,56190,69730,82250,1,1,1,1,1,1,,,,,,
0,16,N,56,41020,23430,11100,20480,24350,26180,29350,36560,40410,43640,55480,62470,1,1,1,1,1,1,,,,,,
0,16,N,61,8812,9761,6842,26420,30490,34830,41650,45700,49560,57340,62320,66060,1,1,1,1,1,1,,,,,,
0,16,N,62,14820,16600,11430,21010,26090,31210,29630,37310,45820,42350,53670,65000,1,1,1,1,1,1,,,,,,
0,16,N,71,2955,2418,1245,18200,22450,24740,24440,32560,38200,33990,46700,57140,1,1,1,1,1,1,,,,,,
0,16,N,72,10520,7222,3816,16350,18080,19960,21130,24660,27700,29440,36050,41940,1,1,1,1,1,1,,,,,,
0,16,N,81,7501,5521,2865,22120,26560,29730,32460,39360,43680,46110,54270,60720,1,1,1,1,1,1,,,,,,
0,16,N,92,19830,21910,14340,26860,35540,39790,34780,45530,52820,43310,59900,72290,1,1,1,1,1,1,,,,,,
0,16,N,99,28220,41530,28800,33980,43210,48320,43820,55410,63580,57840,73150,84270,1,1,1,1,1,1,,,,,,
2000,2,A,00,51230,57090,54930,23930,30710,37320,34320,44390,53580,47700,62210,76290,1,1,1,1,1,1,,,,,,
2002,2,A,00,36400,45460,44720,21810,29240,34820,31780,42870,50510,45310,60280,72830,1,1,1,1,1,1,,,,,,
2004,2,A,00,50460,50890,55350,22770,33280,36970,34490,48040,53520,51100,68930,76710,1,1,1,1,1,1,,,,,,
2006,2,A,00,44730,44830,,24230,33050,,36260,48120,,53400,69770,,1,1,-1,1,1,-1,,,,,,
2008,2,A,00,29470,41600,,26900,30570,,41380,44960,,63320,66120,,1,1,-1,1,1,-1,,,,,,
2010,2,A,00,30500,23060,,24070,29510,,37060,43270,,60530,62630,,1,1,-1,1,1,-1,,,,,,
2012,2,A,00,44940,,,22070,,,32250,,,47610,,,1,-1,-1,1,-1,-1,,,,,,
2014,2,A,00,24550,,,22590,,,32950,,,46870,,,1,-1,-1,1,-1,-1,,,,,,
2000,2,N,11,143,149,119,21220,23130,25120,30040,34090,34630,39940,47090,46160,1,1,1,1,1,1,,,,,,
2000,2,N,21,388,490,605,32180,42410,53200,45460,59890,76240,58370,80040,103000,1,1,1,1,1,1,,,,,,
2000,2,N,22,275,402,536,29610,41330,53220,42090,57320,72680,55400,79060,96100,1,1,1,1,1,1,,,,,,
2000,2,N,23,3329,3686,2722,23320,29200,34540,32010,41380,48120,43590,56840,67630,1,1,1,1,1,1,,,,,,
2000,2,N,31-33,5528,5797,5060,25990,31980,37410,35980,44730,52010,48340,60750,72140,1,1,1,1,1,1,,,,,,
2000,2,N,42,2746,2748,2369,27010,32600,37250,36920,44690,51190,50520,61100,72220,1,1,1,1,1,1,,,,,,
2000,2,N,44-45,5731,4850,3514,19380,22920,26420,26920,33570,38030,37330,47460,54310,1,1,1,1,1,1,,,,,,
2000,2,N,48-49,3238,3277,2755,24260,30810,35050,34780,44270,49140,47150,59390,65660,1,1,1,1,1,1,,,,,,
