cohort,cohort_years,dod_occ_code_level,dod_occ_code,paygrade_level,paygrade,y1_emp,y5_emp,y10_emp,y1_nonemp,y5_nonemp,y10_nonemp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_nonemp,status_y5_nonemp,status_y10_nonemp,status_y1_earn,status_y5_earn,status_y10_earn
0,16,A,000,X,E1-E9,312300,262900,155000,342900,168900,84120,23330,31130,36480,34630,45420,52620,51030,65130,75520,1,1,1,1,1,1,1,1,1
0,16,A,000,A,E1-E5,227200,196000,120200,286300,138600,68130,21260,28280,34140,30650,41230,49400,43550,57960,70250,1,1,1,1,1,1,1,1,1
0,16,A,000,A,E6-E9,85170,66980,34830,56600,30250,15990,34240,43550,46550,48980,60410,65560,69270,82990,89590,1,1,1,1,1,1,1,1,1
0,16,2,10X,X,E1-E9,87590,73730,43830,101500,50950,25050,21720,29320,35020,31390,42570,50430,44950,60190,71850,1,1,1,1,1,1,1,1,1
0,16,2,10X,A,E1-E5,65940,57110,35230,85440,42630,20810,20130,27020,33320,28200,39250,48190,39010,54750,68450,1,1,1,1,1,1,1,1,1
0,16,2,10X,A,E6-E9,21640,16620,8605,16050,8325,4237,31830,41110,43580,45100,56090,60480,63950,78160,83920,1,1,1,1,1,1,1,1,1
0,16,2,11X,X,E1-E9,19340,16700,9918,18370,8678,4402,25860,34210,39810,40560,51690,58970,64080,76150,84800,1,1,1,1,1,1,1,1,1
0,16,2,11X,A,E1-E5,15090,13290,8262,16280,7494,3780,23610,31620,37670,36180,47110,55360,55950,68640,79760,1,1,1,1,1,1,1,1,1
0,16,2,11X,A,E6-E9,4245,3411,1681,2089,1190,634,39950,51610,55600,61890,73390,79120,84320,97220,104800,1,1,1,1,1,1,1,1,1
0,16,2,12X,X,E1-E9,37850,31680,18110,38890,19360,9195,24760,33490,39920,39250,51590,60370,66860,79670,88730,1,1,1,1,1,1,1,1,1
0,16,2,12X,A,E1-E5,26580,23090,13630,31220,15280,7131,22090,30380,37300,33310,46010,55780,53540,69950,82840,1,1,1,1,1,1,1,1,1
0,16,2,12X,A,E6-E9,11210,8597,4481,7668,4085,2064,38130,46960,51370,60200,71010,76620,86960,97850,104800,1,1,1,1,1,1,1,1,1
0,16,2,13X,X,E1-E9,12150,8609,2015,18060,5984,893,24880,33190,40560,36660,46550,56990,51660,63900,78670,1,1,1,1,1,1,1,1,1
0,16,2,13X,A,E1-E5,8766,6409,1550,15270,4999,718,22570,30340,38620,32860,43060,54970,45530,58900,75430,1,1,1,1,1,1,1,1,1
0,16,2,13X,A,E6-E9,3402,2218,451,2796,996,173,35440,43470,45390,48100,57830,63000,64500,76030,85010,1,1,1,1,1,1,1,1,1
