cohort,cohort_years,race,ethnicity,y1_emp,y5_emp,y10_emp,y1_nonemp,y5_nonemp,y10_nonemp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_nonemp,status_y5_nonemp,status_y10_nonemp,status_y1_earn,status_y5_earn,status_y10_earn
2000,2,A01,A2,5014,5659,5519,3275,2606,2718,23530,31710,39180,33290,44940,55050,45500,62520,77210,1,1,1,1,1,1,1,1,1
2000,2,A01,A1,30320,33490,32420,18310,14960,15730,24250,31220,37860,34850,45280,54560,48610,63270,77650,1,1,1,1,1,1,1,1,1
2000,2,A02,A2,531,607,556,566,497,530,23240,29610,36810,34350,44540,53840,46940,62730,78250,1,1,1,1,1,1,1,1,1
2000,2,A02,A1,12580,14030,13230,8557,7036,7711,23720,29450,35460,33760,42120,50370,46660,58730,72120,1,1,1,1,1,1,1,1,1
2000,2,A03,A2,165,206,190,152,116,125,21960,27420,36900,30760,39980,50090,45030,54180,66910,1,1,1,1,1,1,1,1,1
2000,2,A03,A1,345,409,386,326,258,276,21630,25210,31670,32770,40630,47090,45520,59040,68580,1,1,1,1,1,1,1,1,1
2000,2,A04,A2,130,132,128,61,62,55,21330,36580,41140,31610,48120,55830,42280,60640,77750,1,1,1,1,1,1,1,1,1
2000,2,A04,A1,832,1017,1032,826,637,599,22750,31880,41370,34210,47070,61010,49870,66090,82140,1,1,1,1,1,1,1,1,1
2000,2,A05,A2,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5
2000,2,A05,A1,163,201,192,138,107,112,22510,32160,38740,33940,46610,53030,47020,65100,72500,1,1,1,1,1,1,1,1,1
2000,2,A07,A2,225,264,227,194,157,183,21890,30830,35290,34310,45550,51190,47770,62350,76490,1,1,1,1,1,1,1,1,1
2000,2,A07,A1,913,1051,1011,783,631,667,22670,28760,36850,33250,43380,54460,46810,63320,76300,1,1,1,1,1,1,1,1,1
2002,2,A01,A2,4055,5197,5104,3743,2578,2659,21420,30220,36710,30580,43350,51880,42790,60380,74190,1,1,1,1,1,1,1,1,1
2002,2,A01,A1,21540,26170,25900,17830,13020,13090,21910,29640,35290,32010,43550,51280,45660,60920,73420,1,1,1,1,1,1,1,1,1
2002,2,A02,A2,414,548,529,572,442,452,23990,30470,35720,34800,43800,53240,49420,63130,79330,1,1,1,1,1,1,1,1,1
2002,2,A02,A1,8265,10610,10210,8666,6268,6591,21920,27970,32840,31920,41170,47350,45930,58090,69360,1,1,1,1,1,1,1,1,1
2002,2,A03,A2,162,196,188,153,114,115,20670,26860,34570,31180,38640,51120,45150,57160,74720,1,1,1,1,1,1,1,1,1
2002,2,A03,A1,302,359,354,324,263,258,19180,25660,31340,27740,38450,46380,41930,56730,62530,1,1,1,1,1,1,1,1,1
2002,2,A04,A2,70,111,115,80,,,24050,30200,36920,34860,43790,49880,45720,62440,69380,1,1,1,1,5,5,1,1,1
2002,2,A04,A1,661,1010,1075,1053,708,636,21500,30700,37810,32370,44920,54690,46090,64220,79450,1,1,1,1,1,1,1,1,1
2002,2,A05,A2,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5
2002,2,A05,A1,116,130,125,110,92,91,21600,30340,31820,29220,45090,46060,40180,58090,61700,1,1,1,1,1,1,1,1,1
2002,2,A07,A2,192,235,232,213,162,168,20470,26790,33830,28410,39880,48530,42730,60840,76310,1,1,1,1,1,1,1,1,1
2002,2,A07,A1,680,896,876,826,609,616,21430,28140,33810,31990,40870,50260,46890,59670,73410,1,1,1,1,1,1,1,1,1
2004,2,A01,A2,5653,5857,6370,4162,3923,3389,22700,33580,38440,33740,48020,54860,48630,67370,77790,1,1,1,1,1,1,1,1,1
2004,2,A01,A1,29180,28950,31710,19300,19280,16330,22660,33110,37660,34350,48100,54760,51380,69280,78510,1,1,1,1,1,1,1,1,1
2004,2,A02,A2,584,642,700,733,681,618,23280,36540,38430,35360,50290,53300,51250,69110,76700,1,1,1,1,1,1,1,1,1
2004,2,A02,A1,11800,12060,12790,8967,8633,7842,23390,33610,34600,35450,47940,49900,51830,69010,71460,1,1,1,1,1,1,1,1,1
2004,2,A03,A2,208,215,224,154,147,141,21180,30430,38120,32130,45490,52910,48120,65760,74970,1,1,1,1,1,1,1,1,1
2004,2,A03,A1,407,410,470,392,394,327,20210,28690,32050,29620,40320,46290,44760,57190,64790,1,1,1,1,1,1,1,1,1
2004,2,A04,A2,94,108,118,82,65,54,23590,33140,36240,35110,49020,55350,47600,69870,77420,1,1,1,1,1,1,1,1,1
