cohort,cohort_years,yosgrp,y1_emp,y5_emp,y10_emp,y1_nonemp,y5_nonemp,y10_nonemp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_nonemp,status_y5_nonemp,status_y10_nonemp,status_y1_earn,status_y5_earn,status_y10_earn
0,16,A0,312300,262900,155000,342900,168900,84120,23330,31130,36480,34630,45420,52620,51030,65130,75520,1,1,1,1,1,1,1,1,1
0,16,A1,162100,149600,93060,209500,108500,53680,20540,27500,33460,29370,40270,48650,41760,56910,69450,1,1,1,1,1,1,1,1,1
0,16,A2,99300,72520,40430,106400,44730,21290,25740,34500,39370,37790,48880,55930,55040,69290,79990,1,1,1,1,1,1,1,1,1
0,16,A3,51100,40940,21430,26960,15590,9222,35680,44530,46910,50360,61230,65740,69750,82930,87970,1,1,1,1,1,1,1,1,1
2000,2,A0,51230,57090,54930,33180,27080,28730,23930,30710,37320,34320,44390,53580,47700,62210,76290,1,1,1,1,1,1,1,1,1
2002,2,A0,36400,45460,44720,33570,24320,24750,21810,29240,34820,31780,42870,50510,45310,60280,72830,1,1,1,1,1,1,1,1,1
2004,2,A0,50460,50890,55350,36210,35380,30620,22770,33280,36970,34490,48040,53520,51100,68930,76710,1,1,1,1,1,1,1,1,1
2006,2,A0,44730,44830,,32370,31990,,24230,33050,,36260,48120,,53400,69770,,1,1,-1,1,1,-1,1,1,-1
2008,2,A0,29470,41600,,44150,31810,,26900,30570,,41380,44960,,63320,66120,,1,1,-1,1,1,-1,1,1,-1
2010,2,A0,30500,23060,,57710,18280,,24070,29510,,37060,43270,,60530,62630,,1,1,-1,1,1,-1,1,1,-1
2012,2,A0,44940,,,72890,,,22070,,,32250,,,47610,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A0,24550,,,32780,,,22590,,,32950,,,46870,,,1,-1,-1,1,-1,-1,1,-1,-1
2000,2,A1,26340,30660,29740,20480,15980,16640,21060,26880,34150,29690,39380,49280,40670,55190,69660,1,1,1,1,1,1,1,1,1
2000,2,A2,17250,18110,17490,9342,8331,8887,27240,34480,40240,38250,48450,56910,52470,67350,81720,1,1,1,1,1,1,1,1,1
2000,2,A3,7724,8347,7770,3364,2764,3223,32430,40640,45840,43750,55500,64430,58900,74890,87350,1,1,1,1,1,1,1,1,1
2002,2,A1,22950,30190,30160,25150,17770,17550,19560,26350,32470,27690,38710,47300,38540,53730,67470,1,1,1,1,1,1,1,1,1
2002,2,A2,8037,9586,9216,6205,4606,4882,25680,34590,37990,36620,48090,54480,51770,67320,78980,1,1,1,1,1,1,1,1,1
2002,2,A3,5550,5824,5417,2245,1932,2317,34240,43710,46410,46750,59300,64780,64310,79360,87210,1,1,1,1,1,1,1,1,1
2004,2,A1,28330,28640,33270,24750,24160,19450,19520,28930,33880,28660,42080,49580,40960,59340,71310,1,1,1,1,1,1,1,1,1
2004,2,A2,13170,13250,13890,8281,8165,7504,26560,36830,39310,38530,51270,55730,55470,73120,79080,1,1,1,1,1,1,1,1,1
2004,2,A3,8947,8955,8291,3181,3053,3665,37410,48150,48510,52090,65560,67030,69060,88260,89450,1,1,1,1,1,1,1,1,1
2006,2,A1,23760,24180,,20950,20340,,21050,28770,,30450,42390,,43450,60990,,1,1,-1,1,1,-1,1,1,-1
2006,2,A2,12890,12630,,8291,8535,,26870,35700,,39890,50760,,57760,73090,,1,1,-1,1,1,-1,1,1,-1
2006,2,A3,8047,8087,,3120,3116,,38090,46400,,52690,64430,,71860,85800,,1,1,-1,1,1,-1,1,1,-1
2008,2,A1,13310,22950,,29100,19370,,22180,27330,,32120,39940,,46900,57230,,1,1,-1,1,1,-1,1,1,-1
2008,2,A2,9481,11930,,12010,9389,,29960,32870,,44640,47670,,67530,69680,,1,1,-1,1,1,-1,1,1,-1
2008,2,A3,6697,6697,,3045,3063,,43510,44170,,58990,61670,,81270,83630,,1,1,-1,1,1,-1,1,1,-1
2010,2,A1,14020,13000,,35290,10890,,20840,27070,,29810,39210,,44530,56490,,1,1,-1,1,1,-1,1,1,-1
2010,2,A2,10380,7089,,18270,5690,,26330,31280,,40540,45380,,65020,65250,,1,1,-1,1,1,-1,1,1,-1
2010,2,A3,6030,2954,,4144,1694,,36860,40910,,56150,57890,,81370,79780,,1,1,-1,1,1,-1,1,1,-1
2012,2,A1,21550,,,38150,,,20340,,,28630,,,40910,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,A2,17820,,,29470,,,23010,,,33800,,,50480,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,A3,5623,,,5280,,,31560,,,45360,,,67480,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A1,11820,,,15680,,,20760,,,29800,,,41990,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A2,10320,,,14510,,,23690,,,34230,,,48620,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A3,2462,,,2581,,,31900,,,44920,,,64350,,,1,-1,-1,1,-1,-1,1,-1,-1
0,16,A0,312300,262900,155000,342900,168900,84120,23330,31130,36480,34630,45420,52620,51030,65130,75520,1,1,1,1,1,1,1,1,1
0,16,A1,162100,149600,93060,209500,108500,53680,20540,27500,33460,29370,40270,48650,41760,56910,69450,1,1,1,1,1,1,1,1,1
0,16,A2,99300,72520,40430,106400,44730,21290,25740,34500,39370,37790,48880,55930,55040,69290,79990,1,1,1,1,1,1,1,1,1
0,16,A3,51100,40940,21430,26960,15590,9222,35680,44530,46910,50360,61230,65740,69750,82930,87970,1,1,1,1,1,1,1,1,1
2000,2,A0,51230,57090,54930,33180,27080,28730,23930,30710,37320,34320,44390,53580,47700,62210,76290,1,1,1,1,1,1,1,1,1
2002,2,A0,36400,45460,44720,33570,24320,24750,21810,29240,34820,31780,42870,50510,45310,60280,72830,1,1,1,1,1,1,1,1,1
2004,2,A0,50460,50890,55350,36210,35380,30620,22770,33280,36970,34490,48040,53520,51100,68930,76710,1,1,1,1,1,1,1,1,1
2006,2,A0,44730,44830,,32370,31990,,24230,33050,,36260,48120,,53400,69770,,1,1,-1,1,1,-1,1,1,-1
2008,2,A0,29470,41600,,44150,31810,,26900,30570,,41380,44960,,63320,66120,,1,1,-1,1,1,-1,1,1,-1
2010,2,A0,30500,23060,,57710,18280,,24070,29510,,37060,43270,,60530,62630,,1,1,-1,1,1,-1,1,1,-1
2012,2,A0,44940,,,72890,,,22070,,,32250,,,47610,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A0,24550,,,32780,,,22590,,,32950,,,46870,,,1,-1,-1,1,-1,-1,1,-1,-1
